   team_id    |                     name                     | sport_name 
 NFL-8        | Detroit Lions                                | NFL
 NFL-9        | Green Bay Packers                            | NFL
 NFL-34       | Houston Texans                               | NFL
 NFL-11       | Indianapolis Colts                           | NFL
 NFL-30       | Jacksonville Jaguars                         | NFL
 NFL-12       | Kansas City Chiefs                           | NFL
 NFL-13       | Las Vegas Raiders                            | NFL
 NFL-24       | Los Angeles Chargers                         | NFL
 NFL-14       | Los Angeles Rams                             | NFL
 NFL-15       | Miami Dolphins                               | NFL
 NFL-16       | Minnesota Vikings                            | NFL
 NFL-17       | New England Patriots                         | NFL
 NFL-18       | New Orleans Saints                           | NFL
 NFL-19       | New York Giants                              | NFL
 NFL-20       | New York Jets                                | NFL
 NFL-21       | Philadelphia Eagles                          | NFL
 NFL-23       | Pittsburgh Steelers                          | NFL
 NFL-25       | San Francisco 49ers                          | NFL
 NFL-26       | Seattle Seahawks                             | NFL
 NFL-27       | Tampa Bay Buccaneers                         | NFL
 NFL-10       | Tennessee Titans                             | NFL
 NFL-28       | Washington Commanders                        | NFL
 NCAAF-7      | Amherst Mammoths                             | NCAAF
 NCAAF-15     | Anna Maria College Amcats                    | NCAAF
 NCAAF-9      | Arizona State Sun Devils                     | NCAAF
 NCAAF-12     | Arizona Wildcats                             | NCAAF
 NCAAF-8      | Arkansas Razorbacks                          | NCAAF
 NCAAF-2      | Auburn Tigers                                | NCAAF
 NCAAF-124    | Augsburg Auggies                             | NCAAF
 NCAAF-121    | Bates Bobcats                                | NCAAF
 NCAAF-132    | Bemidji State Beavers                        | NCAAF
 NCAAF-68     | Boise State Broncos                          | NCAAF
 NCAAF-103    | Boston College Eagles                        | NCAAF
 NCAAF-18     | Bridgewater State Bears                      | NCAAF
 NCAAF-63     | Buena Vista Beavers                          | NCAAF
 NCAAF-13     | Cal Poly Mustangs                            | NCAAF
 NCAAF-25     | California Golden Bears                      | NCAAF
 NCAAF-32     | Carroll University (WI) Pioneers             | NCAAF
 NCAAF-80     | Chicago Maroons                              | NCAAF
 NCAAF-17     | Claremont-Mudd-Scripps College Stags/Athenas | NCAAF
 NCAAF-33     | Colby College White Mules                    | NCAAF
 NCAAF-38     | Colorado Buffaloes                           | NCAAF
 NCAAF-11     | Colorado Mesa Mavericks                      | NCAAF
 NCAAF-36     | Colorado State Rams                          | NCAAF
 NCAAF-40     | Curry College Colonels                       | NCAAF
 NCAAF-48     | Delaware Blue Hens                           | NCAAF
 NCAAF-83     | Depauw Tigers                                | NCAAF
 NCAAF-49     | Dubuque Spartans                             | NCAAF
 NCAAF-150    | Duke Blue Devils                             | NCAAF
 NCAAF-72     | Elmhurst Bluejays                            | NCAAF
 NCAAF-101    | Eureka College Red Devils                    | NCAAF
 NCAAF-114    | Fitchburg State Falcons                      | NCAAF
 NCAAF-50     | Florida A&M Rattlers                         | NCAAF
 NCAAF-57     | Florida Gators                               | NCAAF
